id,company_name,industry,current_asset,fixed_asset,current_liability,fixed_liability,net_asset,total_asset,total_liability,edinet_code,security_code,fiscal_period_end_date
2320,ダブルスタンダード,情報・通信業,1938445000,232773000,448794000,,1722424000,2171218000,2171218000,E31957,39250,2019/03/31
2321,ＰＲ　ＴＩＭＥＳ,情報・通信業,1801238000,453747000,366200000,3811000,1884974000,2254985000,2254985000,E31965,39220,2019/02/28
2322,一蔵,サービス業,9076400000,9485892000,9628909000,3088967000,5844416000,18562292000,18562292000,E31997,61860,2019/03/31
2323,伊藤ハム米久ホールディングス,食料品,229580000000,163812000000,139456000000,29861000000,224075000000,393392000000,393392000000,E32069,22960,2019/03/31
2324,はてな,情報・通信業,,,,,,0,0,E32141,39300,2019/07/31
2325,ウイルプラスホールディングス,小売業,8247965000,6425878000,7492420000,1759957000,5421466000,14673843000,14673843000,E32181,35380,2019/06/30
2326,イワキ,機械,21440024000,9023571000,8677727000,1637521000,20148347000,30463595000,30463595000,E32189,62370,2019/03/31
2327,バリューデザイン,情報・通信業,795924000,407547000,335668000,159176000,708627000,1203471000,1203471000,E32373,39600,2019/06/30
2328,サツドラホールディングス,小売業,14088000000,21755000000,16860000000,10542000000,8441000000,35843000000,35843000000,E32381,35440,2019/05/15
2329,セラク,サービス業,4480730000,889996000,2223693000,335342000,2811691000,5370726000,5370726000,E32397,61990,2019/08/31
2330,ホープ,サービス業,,,,,,0,0,E32405,61950,2019/06/30
2331,ベイカレント・コンサルティング,サービス業,,,,,,0,0,E32549,65320,2019/02/28
2332,ユナイテッド＆コレクティブ,小売業,,,,,,0,0,E32965,35570,2019/02/28
2333,インターネットインフィニティー,サービス業,,,,,,0,0,E33005,65450,2019/03/31
2334,Ｎｏ．１,卸売業,3395614000,549622000,1878503000,187358000,1879375000,3945236000,3945236000,E33037,35620,2019/02/28
2335,アセンテック,卸売業,,,,,,0,0,E33109,35650,2019/01/31
2336,エコモット,サービス業,,,,,,0,0,E33237,39870,2019/03/31
2337,エスユーエス,サービス業,3276177000,330114000,1409465000,6215000,2190611000,3606291000,3606291000,E33357,65540,2019/09/30
2338,ロジザード,情報・通信業,1044064000,236115000,233240000,4130000,1042809000,1280179000,1280179000,E34045,43910,2019/06/30
2339,スプリックス,サービス業,,,,,,0,0,E34053,70300,2019/09/30
2340,スペースバリューホールディングス,建設業,42653000000,47251000000,40495000000,22230000000,27179000000,89904000000,89904000000,E34109,14480,2019/03/31
2341,ＩＴｂｏｏｋホールディングス,建設業,7888607000,3152753000,6138287000,2338752000,2564321000,11041360000,11041360000,E34165,14470,2019/03/31
2342,アズーム,不動産業,,,,,,0,0,E34285,34960,2019/09/30
2343,サカタのタネ,水産・農林業,71936000000,50488000000,14913000000,6628000000,100883000000,122424000000,122424000000,E00006,13770,2019/05/31
2344,日本水産,水産・農林業,247603000000,230309000000,202699000000,109054000000,166159000000,477912000000,477912000000,E00014,13320,2019/03/31
2345,日本コークス工業,石油・石炭製品,51384000000,70848000000,36507000000,37507000000,48218000000,122232000000,122232000000,E00030,33150,2019/03/31
2346,日本工営,サービス業,52446000000,60728000000,28082000000,24886000000,60206000000,113174000000,113174000000,E00078,19540,2019/06/30
2347,五洋建設,建設業,273764000000,110072000000,221274000000,35991000000,126571000000,383836000000,383836000000,E00086,18930,2019/03/31
2348,協和エクシオ,建設業,241708000000,174774000000,114406000000,34265000000,267811000000,416482000000,416482000000,E00094,19510,2019/03/31
2349,南海辰村建設,建設業,28473000000,8367000000,25363000000,1490000000,9987000000,36840000000,36840000000,E00118,18500,2019/03/31
2350,日特建設,建設業,39937000000,9111000000,19633000000,4738000000,24677000000,49048000000,49048000000,E00142,19290,2019/03/31
2351,青木あすなろ建設,建設業,96416000000,13847000000,34161000000,8693000000,67409000000,110263000000,110263000000,E00174,18650,2019/03/31
2352,神田通信機,建設業,3925461000,2885996000,1892109000,992527000,3926821000,6811457000,6811457000,E00182,19920,2019/03/31
2353,富士ピー・エス,建設業,14702000000,7209000000,11978000000,2166000000,7767000000,21911000000,21911000000,E00238,18480,2019/03/31
2354,暁飯島工業,建設業,,,,,,0,0,E00246,19970,2019/08/31
2355,マサル,建設業,7147689000,1662573000,4583426000,355893000,3870943000,8810262000,8810262000,E00254,17950,2019/09/30
2356,シード平和,建設業,,,,,,0,0,E00302,17390,2019/06/30
2357,ミサワホーム,建設業,186036000000,96105000000,156002000000,62564000000,63575000000,282141000000,282141000000,E00318,17220,2019/03/31
2358,日本ハム,食料品,,,,,,0,0,E00334,22820,2019/03/31
2359,エスフーズ,食料品,99237000000,66304000000,49298000000,30214000000,86029000000,165541000000,165541000000,E00342,22920,2019/02/28
2360,日糧製パン,食料品,,,,,,0,0,E00382,22180,2019/03/31
2361,２１ＬＡＤＹ,小売業,602880000,347409000,460221000,258179000,231889000,950289000,950289000,E00390,33460,2019/03/31
2362,ヤクルト本社,食料品,247637000000,370895000000,115455000000,110798000000,392279000000,618532000000,618532000000,E00406,22670,2019/03/31
2363,伊藤園,食料品,177449000000,126532000000,76473000000,76585000000,150923000000,303981000000,303981000000,E00414,25930,2019/04/30
2364,マルサンアイ,食料品,10416693000,13635833000,11702808000,6393693000,5956025000,24052526000,24052526000,E00422,25510,2019/09/20
2365,ボーソー油脂,食料品,5166053000,4780399000,3512696000,2233021000,4200735000,9946452000,9946452000,E00430,26080,2019/03/31
2366,ニチレイ,食料品,160554000000,216703000000,99561000000,93890000000,183806000000,377257000000,377257000000,E00446,28710,2019/03/31
2367,日和産業,食料品,21787573000,6593952000,10823595000,108167000,17449763000,28381525000,28381525000,E00454,20550,2019/03/31
2368,ハウス食品グループ本社,食料品,144755000000,226269000000,55308000000,36573000000,279143000000,371024000000,371024000000,E00462,28100,2019/03/31
2369,和弘食品,食料品,3994039000,4317578000,3456933000,800578000,4054106000,8311617000,8311617000,E00478,28130,2019/03/31
2370,アリアケジャパン,食料品,68850299000,37849466000,14160288000,3635447000,88904030000,106699765000,106699765000,E00486,28150,2019/03/31
2371,仙波糖化工業,食料品,11850361000,8806361000,8808673000,2737568000,9110481000,20656722000,20656722000,E00494,29160,2019/03/31
2372,ヒガシマル,食料品,6591145000,6420316000,4264715000,3323910000,5422836000,13011461000,13011461000,E00502,20580,2019/03/31
2373,佐藤食品工業,食料品,11927221000,18903125000,10008659000,8030758000,12790929000,30830346000,30830346000,E00510,29230,2019/04/30
2374,ＲＩＺＡＰグループ,化学,,,,,,0,0,E00518,29280,2019/03/31
2375,サイボー,繊維製品,4779423000,21511240000,2542912000,7634479000,16113272000,26290663000,26290663000,E00534,31230,2019/03/31
2376,日東紡績,ガラス・土石製品,72674000000,78326000000,32066000000,28193000000,90741000000,151000000000,151000000000,E00542,31100,2019/03/31
2377,ダイドーリミテッド,繊維製品,11517000000,28764000000,13795000000,10027000000,16459000000,40281000000,40281000000,E00550,32050,2019/03/31
2378,日本製麻,卸売業,1945200000,1837993000,853983000,763667000,2165543000,3783193000,3783193000,E00558,33060,2019/03/31
2379,北日本紡績,繊維製品,,,,,,0,0,E00566,34090,2019/03/31
2380,住江織物,繊維製品,50638000000,37336000000,33779000000,18924000000,35271000000,87974000000,87974000000,E00574,35010,2019/05/31
2381,ワコールホールディングス,繊維製品,,,,,,0,0,E00590,35910,2019/03/31
2382,川本産業,繊維製品,10130256000,2956915000,5854233000,3498516000,3734422000,13087171000,13087171000,E00614,36040,2019/03/31
2383,ウッドワン,その他製品,27516000000,56368000000,27205000000,17702000000,38977000000,83884000000,83884000000,E00630,78980,2019/03/31
2384,昭和パックス,パルプ・紙,16797758000,9424369000,8478773000,1600089000,16143265000,26222127000,26222127000,E00686,39540,2019/03/31
2385,図書印刷,その他製品,41645000000,73470000000,18587000000,16437000000,80091000000,115115000000,115115000000,E00694,79130,2019/03/31
2386,ＴＡＫＡＲＡ　＆　ＣＯＭＰＡＮＹ,その他製品,12910278000,9291508000,5275032000,1567066000,15359688000,22201786000,22201786000,E00710,79210,2019/05/31
2387,トッパン・フォームズ,その他製品,118745000000,105357000000,50039000000,2233000000,171830000000,224102000000,224102000000,E00726,78620,2019/03/31
2388,平賀,その他製品,,,,,,0,0,E00734,78630,2019/03/31
2389,日本曹達,化学,98895000000,117316000000,50118000000,21177000000,144916000000,216211000000,216211000000,E00766,40410,2019/03/31
2390,デンカ,化学,190730000000,293097000000,154047000000,79298000000,250482000000,483827000000,483827000000,E00774,40610,2019/03/31
2391,第一稀元素化学工業,化学,26103095000,19665790000,9329015000,9174656000,27265214000,45768885000,45768885000,E00806,40820,2019/03/31
2392,旭有機材,化学,37272000000,25269000000,15890000000,3472000000,43179000000,62541000000,62541000000,E00830,42160,2019/03/31
2393,リケンテクノス,化学,57809424000,37398478000,31977136000,6752298000,56478468000,95207902000,95207902000,E00838,42200,2019/03/31
2394,ＡＤＥＫＡ,化学,233087000000,181462000000,107156000000,62893000000,244500000000,414549000000,414549000000,E00878,44010,2019/03/31
